,Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad,age_cat,areaIncome_cat
16,55.39,37.0,,129.41,Customizable multi-tasking website,West Dylanberg,0,Palestinian Territory,2016-01-30 19:20:41,yes,middle,
17,82.03,41.0,71511.08,187.53,Intuitive dynamic attitude,Pruittmouth,0,Afghanistan,2016-05-02 07:00:58,no,middle,high
18,54.7,36.0,31087.54,118.39,Grass-roots solution-oriented conglomeration,Jessicastad,1,British Indian Ocean Territory (Chagos Archipelago),2016-02-13 07:53:55,yes,middle,low
19,74.58,,23821.72,135.51,Advanced 24/7 productivity,Millertown,1,Russian Federation,2016-02-27 04:43:07,yes,,low
20,77.22,30.0,64802.33,224.44,Object-based reciprocal knowledgebase,Port Jacqueline,1,Cameroon,2016-01-05 07:52:48,no,young,high
21,84.59,35.0,60015.57,226.54,Streamlined non-volatile analyzer,Lake Nicole,1,Cameroon,2016-03-18 13:22:35,no,middle,high
22,41.49,52.0,32635.7,164.83,Mandatory disintermediate utilization,South John,0,Burundi,2016-05-20 08:49:33,yes,senior,low
23,87.29,36.0,61628.72,209.93,Future-proofed methodical protocol,Pamelamouth,1,Korea,2016-03-23 09:43:43,no,middle,high
24,41.39,41.0,68962.32,167.22,Exclusive neutral parallelism,Harperborough,0,Tokelau,2016-06-13 17:27:09,yes,middle,high
25,78.74,28.0,64828.0,204.79,Public-key foreground groupware,Port Danielleberg,1,Monaco,2016-05-27 15:25:52,no,young,high
26,,28.0,38067.08,134.14,Ameliorated client-driven forecast,West Jeremyside,1,Tuvalu,2016-02-08 10:46:14,yes,young,avg
27,51.95,52.0,58295.82,129.23,Monitored systematic hierarchy,South Cathyfurt,0,Greece,2016-07-19 08:32:10,yes,senior,high
28,70.2,34.0,32708.94,119.2,Open-architected impactful productivity,Palmerside,0,British Virgin Islands,2016-04-14 05:08:35,yes,middle,low
29,,22.0,46179.97,209.82,Business-focused value-added definition,West Guybury,0,Bouvet Island (Bouvetoya),2016-01-27 12:38:16,no,young,avg
30,67.64,35.0,51473.28,267.01,Programmable asymmetric data-warehouse,Phelpschester,1,Peru,2016-07-02 20:23:15,no,middle,avg
31,86.41,28.0,45593.93,207.48,Digitized static capability,Lake Melindamouth,1,Aruba,2016-03-01 22:13:37,no,young,avg
32,59.05,57.0,25583.29,169.23,Digitized global capability,North Richardburgh,1,Maldives,2016-07-15 05:05:14,yes,senior,low
33,55.6,23.0,30227.98,212.58,Multi-layered 4thgeneration knowledge user,Port Cassie,0,Senegal,2016-01-14 14:00:09,yes,young,low
34,57.64,57.0,45580.92,133.81,Synchronized dedicated service-desk,New Thomas,1,Dominica,2016-03-15 03:12:25,yes,senior,avg
35,84.37,30.0,61389.5,201.58,Synchronized systemic hierarchy,Johnstad,0,Luxembourg,2016-04-12 03:26:39,no,young,high
36,62.26,53.0,,,Profound stable product,West Aprilport,1,Montenegro,2016-04-07 15:18:10,yes,senior,
37,65.82,39.0,76435.3,,Reactive demand-driven capacity,Kellytown,0,Ukraine,2016-02-09 05:28:18,no,middle,high
38,50.43,,,119.32,Persevering needs-based open architecture,Charlesport,1,Saint Helena,2016-05-07 17:11:49,yes,,
39,38.93,39.0,27508.41,162.08,Intuitive exuding service-desk,Millerchester,0,Liberia,2016-03-11 06:49:10,yes,middle,low
40,,29.0,57691.95,,Innovative user-facing extranet,Mackenziemouth,0,Russian Federation,2016-04-27 09:27:58,no,young,high
41,64.24,30.0,59784.18,,Front-line intermediate database,Zacharystad,0,Tunisia,2016-04-16 11:53:43,no,young,high
42,82.52,32.0,66572.39,198.11,Persevering exuding system engine,North Joshua,1,Turkmenistan,2016-05-08 15:38:46,no,young,high
43,81.38,31.0,64929.61,212.3,Balanced dynamic application,Bowenview,0,Saint Helena,2016-02-08 00:23:38,no,young,high
44,80.47,,57519.64,204.86,Reduced global support,Jamesberg,0,Niger,2016-02-11 13:26:22,no,,avg
45,37.68,52.0,53575.48,172.83,Organic leadingedge secured line,Lake Cassandraport,1,Turkmenistan,2016-02-17 13:16:33,yes,senior,avg
46,69.62,20.0,50983.75,202.25,Business-focused encompassing neural-net,New Sharon,1,Qatar,2016-02-26 22:46:43,no,young,avg
47,85.4,43.0,67058.72,,Triple-buffered demand-driven alliance,Johnport,0,Sri Lanka,2016-06-08 18:54:01,no,middle,high
48,44.33,37.0,52723.34,123.72,Visionary maximized process improvement,Hamiltonfort,1,Trinidad and Tobago,2016-01-08 09:32:26,yes,middle,avg
49,48.01,46.0,54286.1,119.93,Centralized 24/7 installation,West Christopher,0,Italy,2016-04-25 11:01:54,yes,middle,avg
50,73.18,23.0,61526.25,196.71,Organized static focus group,Hollandberg,1,British Virgin Islands,2016-04-04 07:07:46,no,young,high
51,79.94,28.0,58526.04,225.29,Visionary reciprocal circuit,Odomville,0,United Kingdom,2016-05-03 21:19:58,no,young,high
52,33.33,45.0,53350.11,193.58,Pre-emptive value-added workforce,East Samanthashire,1,Guinea-Bissau,2016-01-17 09:31:36,yes,middle,avg
53,50.33,,62657.53,133.2,Sharable analyzing alliance,South Lauraton,1,Micronesia,2016-03-02 04:57:51,yes,,high
54,62.31,,62722.57,119.3,Team-oriented encompassing portal,Amandahaven,0,Turkey,2016-02-14 07:36:58,yes,,high
55,80.6,31.0,67479.62,177.55,Sharable bottom-line solution,Thomasview,0,Croatia,2016-04-07 03:56:16,no,young,high
56,65.19,36.0,75254.88,150.61,Cross-group regional website,Garciaside,0,Israel,2016-02-17 11:42:00,yes,middle,high
57,44.98,49.0,52336.64,129.31,Organized global model,Port Sarahshire,0,Svalbard & Jan Mayen Islands,2016-04-10 00:13:47,yes,senior,avg
58,77.63,29.0,56113.37,239.22,Upgradable asynchronous circuit,Port Gregory,0,Azerbaijan,2016-02-14 17:05:15,no,young,avg
59,41.82,41.0,24852.9,156.36,Phased transitional instruction set,Brendachester,0,Iran,2016-05-26 22:49:47,yes,middle,low
60,85.61,27.0,47708.42,183.43,Customer-focused empowering ability,Lake Amy,0,Burundi,2016-04-30 08:07:13,no,young,avg
61,85.84,34.0,64654.66,192.93,Front-line heuristic data-warehouse,Lake Annashire,1,Saint Vincent and the Grenadines,2016-06-15 05:30:13,no,middle,high
62,72.08,29.0,71228.44,169.5,Stand-alone national attitude,Smithburgh,0,Burundi,2016-03-09 14:45:33,no,young,high
63,86.06,32.0,61601.05,,Focused upward-trending core,North Leonmouth,1,Bulgaria,2016-03-31 20:55:22,no,young,high
64,45.96,45.0,,,Streamlined cohesive conglomeration,Robertfurt,0,Christmas Island,2016-06-03 00:55:23,yes,middle,
65,,29.0,73910.9,198.5,Upgradable optimizing toolset,Jasminefort,1,Canada,2016-03-10 23:36:03,no,young,high
66,63.89,,,105.22,Synchronized user-facing core,Jensenborough,0,Rwanda,2016-01-08 00:17:27,yes,,
67,35.33,32.0,51510.18,200.22,Organized client-driven alliance,Bradleyburgh,0,Turks and Caicos Islands,2016-06-05 22:11:34,yes,young,avg
68,75.74,25.0,61005.87,215.25,Ergonomic multi-state structure,New Sheila,1,Tunisia,2016-01-16 11:35:01,no,young,high
69,78.53,34.0,,131.72,Synergized multimedia emulation,North Regina,0,Norfolk Island,2016-04-22 20:10:22,yes,middle,
70,46.13,31.0,60248.97,139.01,Customer-focused optimizing moderator,Davidmouth,0,Bouvet Island (Bouvetoya),2016-02-01 09:00:55,yes,young,high
71,,46.0,74543.81,222.63,Advanced full-range migration,New Michaeltown,0,Turks and Caicos Islands,2016-07-07 13:37:34,no,middle,high
72,55.35,39.0,75509.61,153.17,De-engineered object-oriented protocol,East Tammie,1,Cook Islands,2016-03-08 00:37:54,yes,middle,high
73,33.21,43.0,42650.32,167.07,Polarized clear-thinking budgetary management,Wilcoxport,1,Turkey,2016-05-10 17:39:06,yes,middle,avg
74,38.46,42.0,,145.98,Customizable 6thgeneration knowledge user,East Michaelmouth,1,Guatemala,2016-04-06 11:24:21,yes,middle,
75,64.1,22.0,,215.93,Seamless object-oriented structure,East Tiffanyport,0,Cote d'Ivoire,2016-04-01 16:21:05,no,young,
76,49.81,35.0,57009.76,120.06,Seamless real-time array,Ramirezhaven,1,Faroe Islands,2016-01-05 04:18:46,yes,middle,avg
77,82.73,33.0,54541.56,238.99,Grass-roots impactful system engine,Cranemouth,1,Qatar,2016-05-20 21:31:24,no,young,avg
78,56.14,38.0,,113.53,Devolved tangible approach,Lake Edward,1,Ireland,2016-02-03 07:59:16,yes,middle,
79,55.13,45.0,55605.92,111.71,Customizable executive software,Lake Conniefurt,0,Ukraine,2016-02-17 21:55:29,yes,middle,avg
80,78.11,27.0,63296.87,,Progressive analyzing attitude,East Shawnchester,1,Moldova,2016-01-30 16:10:04,no,young,high
81,73.46,28.0,65653.47,222.75,Innovative executive encoding,West Joseph,1,Nicaragua,2016-05-15 14:41:49,no,young,high
82,56.64,38.0,,115.91,Down-sized uniform info-mediaries,Lake Christopherfurt,0,Montserrat,2016-01-05 17:56:52,yes,middle,
83,68.94,54.0,30726.26,138.71,Streamlined next generation implementation,East Tylershire,0,Timor-Leste,2016-04-19 07:34:28,yes,senior,low
84,70.79,31.0,74535.94,184.1,Distributed tertiary system engine,Sharpberg,0,Bouvet Island (Bouvetoya),2016-03-15 15:49:14,no,young,high
85,,41.0,47861.93,105.15,Triple-buffered scalable groupware,Lake Dustin,0,Puerto Rico,2016-06-12 15:25:44,yes,middle,avg
86,77.51,36.0,73600.28,200.55,Total 5thgeneration encoding,North Kristine,0,Central African Republic,2016-07-01 04:41:57,no,middle,high
87,52.7,34.0,,118.6,Integrated human-resource encoding,Grahamberg,1,Venezuela,2016-05-08 12:12:04,yes,middle,
88,57.7,34.0,,109.07,Phased dynamic customer loyalty,New Tina,0,Australia,2016-03-14 23:13:11,yes,middle,
89,56.89,37.0,37334.78,109.29,Open-source coherent policy,Nelsonfurt,1,Wallis and Futuna,2016-05-25 00:19:57,yes,middle,avg
90,69.9,,71392.53,138.35,Down-sized modular intranet,Christopherport,0,Jersey,2016-05-13 11:51:10,yes,,high
91,55.79,24.0,59550.05,149.67,Pre-emptive content-based focus group,Port Sarahhaven,0,Puerto Rico,2016-02-20 20:47:05,yes,young,high
92,70.03,26.0,64264.25,227.72,Versatile 4thgeneration system engine,Bradleyborough,1,Samoa,2016-05-22 20:49:37,no,young,high
93,50.08,40.0,,,Ergonomic full-range time-frame,Whiteport,1,Greece,2016-04-10 02:02:36,yes,middle,
94,43.67,31.0,25686.34,166.29,Automated directional function,New Theresa,1,Antarctica (the territory South of 60 deg S),2016-02-28 06:41:44,yes,young,low
95,72.84,26.0,52968.22,238.63,Progressive empowering alliance,Wongland,0,Albania,2016-07-08 21:18:32,no,young,avg
96,45.72,36.0,22473.08,154.02,Versatile homogeneous capacity,Williammouth,1,Hong Kong,2016-04-19 15:14:58,yes,middle,low
97,,41.0,64927.19,156.3,Function-based optimizing protocol,Williamsborough,0,Lithuania,2016-01-08 22:47:10,yes,middle,high
98,35.61,46.0,51868.85,158.22,Up-sized secondary software,North Michael,0,Egypt,2016-03-28 08:46:26,yes,middle,avg
99,79.71,34.0,69456.83,211.65,Seamless holistic time-frame,Benjaminchester,1,Bangladesh,2016-07-02 14:57:53,no,middle,high
100,,53.0,,169.18,Persevering reciprocal firmware,Hernandezville,0,Western Sahara,2016-07-03 09:22:30,yes,senior,
101,63.6,23.0,51864.77,235.28,Centralized logistical secured line,Youngburgh,1,Serbia,2016-06-01 09:27:34,no,young,avg
102,89.91,40.0,59593.56,194.23,Innovative background conglomeration,Wallacechester,0,Maldives,2016-07-09 14:55:36,no,middle,high
103,68.18,21.0,48376.14,218.17,Switchable 3rdgeneration hub,Sanchezmouth,1,Czech Republic,2016-02-09 22:04:54,no,young,avg
104,66.49,20.0,56884.74,202.16,Polarized 6thgeneration info-mediaries,Bradshawborough,0,Guernsey,2016-06-10 11:31:33,no,young,avg
105,80.49,40.0,67186.54,229.12,Balanced heuristic approach,Amyhaven,1,Tanzania,2016-02-14 03:50:52,no,middle,high
106,72.23,25.0,46557.92,241.03,Focused 24hour implementation,Marcushaven,1,Bhutan,2016-07-05 17:17:49,no,young,avg
107,,42.0,66541.05,150.99,De-engineered mobile infrastructure,Erinton,0,Christmas Island,2016-04-28 05:50:25,yes,middle,high
108,47.53,30.0,33258.09,135.18,Customer-focused upward-trending contingency,Hughesport,0,Guinea,2016-04-03 05:10:31,yes,young,low
109,74.02,32.0,72272.9,,Operative system-worthy protocol,Johnstad,0,Micronesia,2016-03-09 14:57:11,no,young,high
110,66.63,60.0,60333.38,176.98,User-friendly upward-trending intranet,New Lucasburgh,0,Madagascar,2016-01-16 23:37:51,yes,senior,high
111,63.24,53.0,65229.13,235.78,Future-proofed holistic superstructure,Michelleside,1,Lebanon,2016-07-03 04:33:41,yes,senior,high
112,71.0,22.0,56067.38,211.87,Extended systemic policy,Andersonton,0,Eritrea,2016-03-14 06:46:14,no,young,avg
113,46.13,46.0,37838.72,,Horizontal hybrid challenge,New Rachel,1,Guyana,2016-01-09 05:44:56,yes,middle,avg
114,69.0,32.0,72683.35,221.21,Virtual composite model,Port Susan,1,Trinidad and Tobago,2016-02-11 04:37:34,no,young,high
115,76.99,31.0,56729.78,244.34,Switchable mobile framework,West Angelabury,1,Jersey,2016-06-22 07:33:21,no,young,avg
116,72.6,55.0,66815.54,162.95,Focused intangible moderator,Port Christopherborough,0,United Arab Emirates,2016-07-13 16:12:24,yes,senior,high
117,61.88,42.0,,112.19,Balanced actuating moderator,Phillipsbury,1,Martinique,2016-07-23 11:46:28,yes,middle,
118,,50.0,29727.79,207.18,Customer-focused transitional strategy,Millerside,0,Somalia,2016-07-13 04:10:53,yes,senior,low
119,88.97,45.0,49269.98,152.49,Advanced web-enabled standardization,Lake Jessica,0,Bhutan,2016-06-11 18:32:12,yes,middle,avg
120,,,,210.26,Pre-emptive executive knowledgebase,Lopezmouth,1,Greece,2016-05-08 12:51:00,no,,
121,49.58,26.0,56791.75,,Self-enabling holistic process improvement,Johnsport,0,Benin,2016-04-07 16:02:02,no,young,avg
122,77.65,27.0,63274.88,,Horizontal client-driven hierarchy,South Ronald,0,Papua New Guinea,2016-02-04 13:30:32,no,young,high
123,37.75,36.0,35466.8,225.24,Polarized dynamic throughput,South Daniel,0,Uzbekistan,2016-02-26 19:48:23,yes,middle,low
124,62.33,43.0,68787.09,127.11,Devolved zero administration intranet,Suzannetown,0,South Africa,2016-06-21 13:15:21,yes,middle,high
125,79.57,31.0,61227.59,230.93,User-friendly asymmetric info-mediaries,Lisaberg,0,Egypt,2016-05-17 04:27:31,no,young,high
126,80.31,44.0,56366.88,127.07,Cross-platform regional task-force,Brianfurt,0,Hungary,2016-04-18 15:54:33,yes,middle,avg
127,,,57868.44,,Polarized bandwidth-monitored moratorium,Stewartbury,0,Falkland Islands (Malvinas),2016-04-03 10:07:56,no,,high
128,70.41,27.0,66618.21,223.03,Centralized systematic knowledgebase,Benjaminchester,0,Dominica,2016-04-04 21:30:46,no,young,high
129,67.36,37.0,73104.47,233.56,Future-proofed grid-enabled implementation,North Wesleychester,0,Jersey,2016-07-06 16:00:33,no,middle,high
130,46.98,50.0,21644.91,175.37,Down-sized well-modulated archive,East Michelleberg,0,Lithuania,2016-05-04 09:00:24,yes,senior,low
131,41.67,36.0,53817.02,132.55,Realigned zero tolerance emulation,Port Eric,0,Saint Martin,2016-06-13 18:50:00,yes,middle,avg
132,,36.0,76368.31,,Versatile transitional monitoring,Timothyfurt,0,Cuba,2016-01-03 16:01:40,yes,middle,high
133,75.7,29.0,67633.44,215.44,Profound zero administration instruction set,Port Jeffrey,0,United States Minor Outlying Islands,2016-01-14 00:23:10,no,young,high
134,43.49,47.0,50335.46,127.83,User-centric intangible task-force,Guzmanland,0,Belize,2016-01-12 10:07:29,yes,middle,avg
135,,39.0,17709.98,160.03,Enhanced system-worthy application,East Michele,1,Belize,2016-04-16 12:09:25,yes,middle,low
136,38.37,36.0,41229.16,140.46,Multi-layered user-facing paradigm,East John,0,Antarctica (the territory South of 60 deg S),2016-05-13 06:09:28,yes,middle,avg
137,38.52,38.0,42581.23,137.28,Customer-focused 24/7 concept,Lesliebury,1,Saint Vincent and the Grenadines,2016-03-27 23:59:06,yes,middle,avg
138,71.89,23.0,61617.98,172.81,Function-based transitional complexity,Patriciahaven,1,Kuwait,2016-02-03 23:47:56,no,young,high
139,75.8,38.0,70575.6,146.19,Progressive clear-thinking open architecture,Ashleychester,1,Thailand,2016-04-18 11:23:05,no,middle,high
140,83.86,31.0,64122.36,190.25,Up-sized executive moderator,Lake Josetown,0,Gibraltar,2016-02-05 19:06:01,no,young,high
141,37.51,30.0,52097.32,163.0,Re-contextualized optimal service-desk,Debraburgh,1,Holy See (Vatican City State),2016-03-21 18:46:41,yes,young,avg
142,55.6,44.0,65953.76,124.38,Fully-configurable neutral open system,New Debbiestad,1,Korea,2016-06-14 11:59:58,yes,middle,high
143,83.67,,,,Upgradable system-worthy array,West Shaun,1,Saint Helena,2016-02-06 23:08:57,no,,
144,69.08,41.0,77460.07,210.6,Ergonomic client-driven application,Kimberlyhaven,0,Turks and Caicos Islands,2016-03-12 01:39:19,no,middle,high
145,37.47,44.0,45716.48,141.89,Realigned content-based leverage,Port Lawrence,1,Czech Republic,2016-01-26 03:56:18,yes,middle,avg
146,56.04,,65120.86,128.95,Decentralized real-time circuit,West Ricardo,1,Netherlands,2016-02-07 08:02:31,yes,,high
147,70.92,41.0,49995.63,108.16,Polarized modular function,Lake Jose,1,Belarus,2016-05-05 07:58:22,yes,middle,avg
148,49.78,46.0,71718.51,,Enterprise-wide client-driven contingency,Heatherberg,0,Dominica,2016-06-29 02:43:29,yes,middle,high
149,68.61,57.0,61770.34,150.29,Diverse modular interface,South George,0,South Africa,2016-04-10 19:48:01,yes,senior,high
150,58.18,,69112.84,176.28,Polarized analyzing concept,Tinachester,1,New Zealand,2016-02-10 06:37:56,no,,high
151,,35.0,72524.86,172.1,Multi-channeled asynchronous open system,Port Jodi,0,Togo,2016-05-28 20:41:50,no,middle,high
152,,48.0,,158.22,Function-based context-sensitive secured line,Jonathantown,1,Kenya,2016-03-24 06:36:52,yes,senior,
153,65.4,33.0,66699.12,247.31,Adaptive 24hour Graphic Interface,Sylviaview,0,Palau,2016-02-12 22:51:08,no,young,high
154,,,64287.78,183.48,Automated coherent flexibility,East Timothyport,1,Timor-Leste,2016-06-10 10:11:00,no,,high
155,87.98,38.0,56637.59,222.11,Focused scalable complexity,West Roytown,1,Cambodia,2016-03-31 10:44:46,no,middle,avg
156,44.64,36.0,55787.58,127.01,Up-sized incremental encryption,Codyburgh,0,Belize,2016-02-14 06:51:43,yes,middle,avg
157,41.73,28.0,,202.18,Sharable dedicated Graphic Interface,Port Erikhaven,1,Cuba,2016-01-07 19:16:05,yes,young,
158,80.46,27.0,61625.87,207.96,Digitized zero administration paradigm,Port Chasemouth,1,Costa Rica,2016-02-04 02:13:52,no,young,high
159,75.55,36.0,,159.24,Managed grid-enabled standardization,Ramirezside,0,Liechtenstein,2016-05-09 02:58:58,yes,middle,
160,76.32,35.0,74166.24,195.31,Networked foreground definition,East Michaeltown,1,Korea,2016-06-23 00:16:02,no,middle,high
161,82.68,33.0,62669.59,222.77,Re-engineered exuding frame,West Courtney,1,Ukraine,2016-06-20 09:35:02,no,young,high
162,72.01,31.0,57756.89,251.0,Horizontal multi-state interface,West Michaelhaven,0,Angola,2016-02-29 12:31:57,no,young,high
163,75.83,24.0,58019.64,162.44,Diverse stable circuit,Walshhaven,0,Nauru,2016-01-17 15:10:31,no,young,high
164,41.28,50.0,50960.08,140.39,Universal 24/7 implementation,East Rachelview,0,Equatorial Guinea,2016-01-29 03:54:19,yes,senior,avg
165,34.66,32.0,48246.6,,Customer-focused multi-tasking Internet solution,Curtisport,0,Mongolia,2016-07-14 12:07:10,yes,young,avg
166,66.18,55.0,28271.84,143.42,Vision-oriented contextually-based extranet,Frankbury,0,Svalbard & Jan Mayen Islands,2016-01-10 23:14:30,yes,senior,low
167,86.06,31.0,,219.72,Extended local methodology,Timothytown,1,Timor-Leste,2016-04-28 18:34:56,no,young,
168,,42.0,,104.78,Re-engineered demand-driven capacity,Samanthaland,1,Brazil,2016-07-06 18:36:01,yes,middle,
169,86.69,34.0,62238.58,198.56,Customer-focused attitude-oriented instruction set,South Jennifer,0,Chad,2016-05-27 06:19:27,no,middle,high
170,43.77,52.0,49030.03,138.55,Synergized hybrid time-frame,Kyleborough,1,Portugal,2016-01-25 07:39:41,yes,senior,avg
171,71.84,,76003.47,199.79,Advanced exuding conglomeration,North Randy,1,Malawi,2016-05-08 22:47:18,no,,high
172,80.23,,68094.85,,Secured clear-thinking middleware,South Daniellefort,0,Qatar,2016-03-19 14:23:45,no,,high
173,74.41,26.0,64395.85,163.05,Right-sized value-added initiative,Dianashire,0,Singapore,2016-07-23 04:37:05,no,young,high
174,63.36,48.0,70053.27,,Centralized tertiary pricing structure,East Eric,0,Guinea,2016-06-23 01:22:43,yes,senior,high
175,71.74,35.0,72423.97,227.56,Multi-channeled reciprocal artificial intelligence,Hammondport,0,Kazakhstan,2016-07-19 18:06:22,no,middle,high
176,60.72,,42995.8,105.69,Synergized context-sensitive database,Jacobstad,0,Kuwait,2016-02-28 18:52:44,yes,,avg
177,72.04,22.0,60309.58,199.43,Realigned systematic function,Hernandezfort,0,Rwanda,2016-02-10 06:52:07,no,young,high
178,44.57,,38349.78,133.17,Adaptive context-sensitive application,Joneston,1,China,2016-03-27 09:11:10,yes,,avg
179,85.86,34.0,,208.23,Networked high-level structure,New Jeffreychester,0,Bouvet Island (Bouvetoya),2016-05-23 02:15:04,no,middle,
180,39.85,38.0,31343.39,145.96,Profit-focused dedicated utilization,East Stephen,0,Vietnam,2016-01-03 03:22:15,yes,middle,low
181,,27.0,40763.13,168.34,Stand-alone tangible moderator,Turnerchester,0,Guatemala,2016-01-04 21:48:38,yes,young,avg
182,62.95,60.0,36752.24,157.04,Polarized tangible collaboration,Youngfort,0,Peru,2016-05-24 13:30:38,yes,senior,avg
183,,41.0,65044.59,255.61,Focused high-level conglomeration,Ingramberg,1,Mayotte,2016-02-01 19:42:40,no,middle,high
184,85.56,29.0,53673.08,210.46,Advanced modular Local Area Network,South Denisefurt,0,Samoa,2016-06-05 13:16:24,no,young,avg
185,46.88,54.0,43444.86,136.64,Virtual scalable secured line,Port Melissaberg,0,Singapore,2016-02-04 08:53:37,yes,senior,avg
186,46.31,57.0,,,Front-line fault-tolerant intranet,Bernardton,1,Jamaica,2016-03-24 13:37:53,yes,senior,
187,77.95,31.0,62572.88,233.65,Inverse asymmetric instruction set,Port Mathew,1,Bahamas,2016-06-02 21:02:22,no,young,high
188,84.73,30.0,39840.55,,Synchronized leadingedge help-desk,Aliciatown,0,Canada,2016-02-21 07:42:48,yes,young,avg
189,39.86,36.0,32593.59,145.85,Total 5thgeneration standardization,Josephstad,0,Algeria,2016-06-26 17:16:26,yes,middle,low
190,50.08,30.0,41629.86,123.91,Sharable grid-enabled matrix,West Ericfurt,0,Fiji,2016-01-03 05:34:33,yes,young,avg
191,60.23,,43313.73,106.86,Balanced asynchronous hierarchy,New Brendafurt,0,Kenya,2016-03-08 18:00:43,yes,,avg
192,,49.0,42993.48,110.57,Monitored object-oriented Graphic Interface,Port Julie,1,Argentina,2016-06-19 03:19:44,yes,senior,avg
193,,53.0,46004.31,143.79,Cloned analyzing artificial intelligence,South Tiffanyton,1,Bouvet Island (Bouvetoya),2016-07-21 21:16:35,yes,senior,avg
194,77.2,33.0,49325.48,254.05,Persistent homogeneous framework,North Elizabeth,1,Philippines,2016-02-12 20:36:40,no,young,avg
195,71.86,32.0,51633.34,116.53,Face-to-face even-keeled website,Kentmouth,0,Senegal,2016-05-17 06:14:20,yes,young,avg
196,44.78,45.0,,137.24,Extended context-sensitive monitoring,West Casey,1,Suriname,2016-07-09 11:04:54,yes,middle,
197,78.57,36.0,64045.93,239.32,Exclusive client-driven model,East Henry,1,Liberia,2016-03-27 02:35:29,no,middle,high
198,73.41,31.0,73049.3,201.26,Profound executive flexibility,Hollyfurt,1,Guam,2016-01-16 08:01:40,no,young,high
199,77.05,27.0,66624.6,191.14,Reduced bi-directional strategy,North Anna,0,United Arab Emirates,2016-01-21 23:48:29,no,young,high
200,66.4,40.0,77567.85,214.42,Digitized heuristic solution,Port Destiny,0,Antigua and Barbuda,2016-06-05 00:29:13,no,middle,high
201,69.35,29.0,53431.35,252.77,Seamless 4thgeneration contingency,Ianmouth,1,Argentina,2016-02-13 15:37:36,no,young,avg
202,35.65,40.0,31265.75,172.58,Seamless intangible secured line,North Johntown,1,Georgia,2016-05-10 07:22:37,yes,middle,low
203,70.04,31.0,74780.74,183.85,Intuitive radical forecast,Hannahside,1,Jordan,2016-03-27 03:59:26,no,young,high
204,69.78,29.0,70410.11,218.79,Multi-layered non-volatile Graphical User Interface,Wilsonburgh,0,Saudi Arabia,2016-05-24 18:35:58,no,young,high
205,58.22,29.0,37345.24,120.9,User-friendly client-server instruction set,North Russellborough,0,South Africa,2016-02-11 02:40:02,yes,young,avg
206,76.9,28.0,66107.84,212.67,Synchronized multimedia model,Murphymouth,0,Croatia,2016-04-22 08:31:24,no,young,high
207,84.08,,62336.39,187.36,Face-to-face intermediate approach,Carterburgh,1,Fiji,2016-01-13 02:58:27,no,,high
208,59.51,58.0,39132.64,140.83,Assimilated fault-tolerant hub,Penatown,0,Australia,2016-06-16 02:01:24,yes,senior,avg
